"","Latitude","Longitude","Place","As","Cr","Zn"
"1",34.65093,-118.30305,"Los Angeles",2.2,66,90
"2",36.60859,-117.24696,"Death Valley",9.2,22,86
"3",35.07865,-115.2036,"Kingman",5.4,24,64
"4",36.08929,-116.9523,"Death Valley",6.8,15,43
"5",36.15076,-116.91237,"Death Valley",8.3,29,47
"6",34.63751,-118.05493,"Los Angeles",2.6,43,65
"7",33.72934,-117.83957,"Santa Ana",27.9,53,110
"8",36.57431,-118.7147,"Fresno",2.3,14,76
"9",36.29129,-117.05369,"Death Valley",45.6,14,155
"10",36.64498,-118.53613,"Fresno",9.6,50,73
"11",34.8034,-118.18512,"Los Angeles",4.8,9,30
"12",34.91373,-118.50133,"Los Angeles",3.3,56,47
"13",32.8928,-114.64728,"El Centro",4.3,10,36
"14",32.85065,-115.13588,"El Centro",2.6,6,23
"15",32.68531,-115.98132,"El Centro",2.4,32,68
"16",33.9379,-115.97038,"Salton Sea",2.2,48,114
"17",32.84606,-114.51017,"El Centro",6.6,24,56
"18",32.92778,-114.51714,"El Centro",3.8,13,39
"19",32.91403,-115.62716,"El Centro",8.8,19,73
"20",34.48153,-118.06418,"Los Angeles",2.7,27,76
"21",34.27415,-118.15899,"Los Angeles",1.7,28,72
"22",34.32008,-118.33013,"Los Angeles",2,55,75
"23",36.46085,-116.83401,"Death Valley",17.6,7,26
"24",34.68371,-118.84839,"Los Angeles",2.5,110,130
"25",34.40965,-118.07701,"Los Angeles",-0.6,58,66
"26",36.01167,-116.73674,"Death Valley",12.1,15,533
"27",35.97622,-116.92883,"Trona",6.8,50,75
"28",36.7434,-117.46188,"Death Valley",14.2,32,79
"29",34.84903,-118.37009,"Los Angeles",12,64,79
"30",34.49694,-118.33807,"Los Angeles",3.1,38,70
"31",33.58716,-117.71548,"Santa Ana",1.7,16,25
"32",35.73763,-116.55938,"Trona",7.6,21,82
"33",33.9445,-117.91052,"Santa Ana",9.7,37,91
"34",36.72219,-117.01475,"Death Valley",10.7,25,43
"35",37.63624,-121.40023,"San Jose",6.2,60,75
"36",37.72215,-121.56404,"San Jose",6.1,30,60
"37",37.51722,-121.17993,"San Jose",14,32,68
"38",34.59958,-118.72531,"Los Angeles",1.7,59,63
"39",32.75738,-116.98465,"San Diego",4.2,45,127
"40",34.57522,-118.46405,"Los Angeles",4.9,15,49
"41",36.77151,-117.23473,"Death Valley",7.4,11,54
"42",36.98291,-117.46671,"Death Valley",9.4,16,51
"43",36.57399,-116.90985,"Death Valley",14.5,13,53
"44",36.45284,-117.08674,"Death Valley",19.5,35,81
"45",34.71695,-118.51743,"Los Angeles",2.8,10,103
"46",32.85519,-117.22787,"San Diego",12.5,17,53
"47",36.49981,-118.31989,"Fresno",3.6,9,47
"48",36.3978,-116.83419,"Death Valley",55.8,28,73
"49",36.66052,-117.04459,"Death Valley",13.5,15,52
"50",32.6578,-116.83781,"San Diego",4.1,23,85
"51",36.86927,-117.19451,"Death Valley",30.6,9,37
"52",32.83551,-117.12146,"San Diego",5.4,14,49
"53",37.66777,-119.5182,"Mariposa",2.9,10,56
"54",34.44735,-118.57065,"Los Angeles",4.2,66,57
"55",37.80757,-119.54651,"Mariposa",2.3,29,62
"56",36.90888,-118.60766,"Fresno",3.4,15,68
"57",37.90001,-119.40331,"Mariposa",4.2,25,45
"58",36.28617,-118.30189,"Fresno",2.3,34,78
"59",32.93111,-117.15571,"San Diego",5,49,78
"60",36.30189,-118.50355,"Fresno",2.3,15,87
"61",36.87391,-118.51546,"Fresno",3,21,84
"62",36.48118,-118.44866,"Fresno",2.7,30,60
"63",32.64387,-117.05485,"San Diego",2.2,25,38
"64",37.94451,-119.69503,"Mariposa",2,17,60
"65",36.78887,-118.59884,"Fresno",2.4,31,78
"66",36.94361,-117.39643,"Death Valley",12.6,24,41
"67",32.88158,-116.92802,"San Diego",3.5,43,90
"68",33.93929,-116.43475,"Santa Ana",1.9,152,122
"69",33.08607,-117.05584,"Santa Ana",1.9,144,131
"70",32.74908,-116.09291,"San Diego",1.4,17,48
"71",33.58169,-116.07299,"Santa Ana",3.8,24,58
"72",33.44733,-116.07414,"Santa Ana",2.1,25,67
"73",33.39642,-116.88132,"Santa Ana",1.9,51,98
"74",33.10666,-116.84689,"Santa Ana",0.7,66,114
"75",33.30722,-116.19669,"Santa Ana",2.5,57,86
"76",33.331,-116.48684,"Santa Ana",1.5,42,100
"77",32.94243,-116.70993,"San Diego",1.2,125,94
"78",32.66676,-116.30136,"San Diego",1.2,9,60
"79",33.65668,-116.93194,"Santa Ana",0.9,8,98
"80",33.09404,-116.52748,"Santa Ana",8.1,48,85
"81",33.78405,-117.47804,"Santa Ana",14.6,27,74
"82",33.09506,-117.28096,"Santa Ana",5.7,15,30
"83",32.75341,-116.6467,"San Diego",1.8,61,101
"84",33.9495,-116.17337,"Santa Ana",1.4,48,102
"85",33.42048,-117.20492,"Santa Ana",1.7,39,84
"86",33.85331,-117.62608,"Santa Ana",20.9,23,88
"87",33.31766,-117.09926,"Santa Ana",2.6,70,103
"88",32.83221,-116.55607,"San Diego",1.3,88,91
"89",33.23421,-116.32798,"Santa Ana",3.8,31,106
"90",35.68491,-117.13594,"Trona",25.2,16,60
"91",34.21684,-118.33475,"Los Angeles",2.4,61,74
"92",32.87244,-116.31312,"San Diego",0.8,3,71
"93",33.49019,-117.10206,"Santa Ana",0.8,24,66
"94",34.96286,-118.16944,"Los Angeles",29.2,11,54
"95",34.81531,-118.78591,"Los Angeles",98.4,58,203
"96",32.85895,-116.16841,"San Diego",1.1,46,76
"97",32.56466,-116.79135,"San Diego",7.5,17,77
"98",33.92327,-117.24324,"Santa Ana",1.5,11,65
"99",33.92383,-117.05051,"Santa Ana",3.8,19,52
"100",33.23292,-116.52105,"Santa Ana",1.4,12,74
"101",33.57126,-116.73857,"Santa Ana",1.1,28,101
"102",33.92553,-116.74041,"Santa Ana",3.6,15,67
"103",33.73771,-116.81698,"Santa Ana",0.7,4,43
"104",32.81515,-116.38373,"San Diego",6.7,231,117
"105",34.01019,-118.21825,"Los Angeles",2.2,38,125
"106",34.93001,-118.94512,"Los Angeles",3.5,13,41
"107",34.90978,-118.22432,"Los Angeles",10.8,35,82
"108",33.64302,-116.63523,"Santa Ana",1,26,118
"109",33.18245,-117.25096,"Santa Ana",4.9,78,97
"110",33.15364,-117.18883,"Santa Ana",2.7,39,79
"111",33.72073,-117.33516,"Santa Ana",40.1,24,111
"112",33.17414,-116.73811,"Santa Ana",0.6,63,75
"113",35.54802,-117.04894,"Trona",8.8,26,64
"114",33.59462,-116.40804,"Santa Ana",0.6,61,98
"115",35.90996,-117.69209,"Trona",4.5,17,49
"116",33.27163,-116.94334,"Santa Ana",1.6,20,78
"117",34.00193,-118.03043,"Los Angeles",4.2,33,55
"118",33.93285,-117.56155,"Santa Ana",4.6,41,80
"119",33.39418,-116.3739,"Santa Ana",2.6,49,111
"120",33.78285,-116.64256,"Santa Ana",0.9,12,108
"121",33.72318,-116.06415,"Santa Ana",2.5,26,133
"122",33.7998,-116.3958,"Santa Ana",1.5,25,76
"123",33.66213,-117.58386,"Santa Ana",3.1,32,123
"124",33.55383,-117.23181,"Santa Ana",3.2,62,58
"125",33.1381,-116.28984,"Santa Ana",1.5,13,77
