rec_no,labno,labno2,prev_labno,fldnam,coll_date,fldnam_an,descript,aov_code,replicate,loc_count,grainsize,dataset,stype,soil_horiz,color,setting,smpgrsize,datum,photos,acchanwid,fldplnwid,waterdep,watcol,flowstage,flowrate,collector,strbed,relief,contamsou,contampot,contamdegr,veg,formation,anal_notes,joinname,latitude,longitude,quad24code,quad250cod,quad100cod,fips,huc_8,category,qd250name,typedesc,medium,source,source_mod,upsieve,dried,stypenote,prime_id,laslid,ornlid,srlid,lllid,site,xsite,replc,labcond,grabs,samphr,orgn_pct,study,sgeounit,alk,o_diss,scin,airtemp,wtrtemp,ph,cond,strflow,str_chan,weath,veg_dens,rock_type,rock_col,odor,icp40_job,al_icp40,ca_icp40,fe_icp40,k_icp40,mg_icp40,na_icp40,p_icp40,ti_icp40,ag_icp40,as_icp40,au_icp40,ba_icp40,be_icp40,bi_icp40,cd_icp40,ce_icp40,co_icp40,cr_icp40,cu_icp40,eu_icp40,ga_icp40,ho_icp40,la_icp40,li_icp40,mn_icp40,mo_icp40,nb_icp40,nd_icp40,ni_icp40,pb_icp40,sc_icp40,sn_icp40,sr_icp40,ta_icp40,th_icp40,u_icp40,v_icp40,y_icp40,yb_icp40,zn_icp40,cs_icp40,rb_icp40,sb_icp40,zr_icp40,as_job,as_aa,se_job,se_aa,hg_job,hg_aa,sb_job,sb_aa,te_job,te_aa,tl_job,tl_aa,w_job,w_vs,au_job,au_aa,pdpt_job,pd_aa,pt_aa,icp10_job,ag_icp10,as_icp10,au_icp10,bi_icp10,cd_icp10,cu_icp10,mo_icp10,pb_icp10,sb_icp10,zn_icp10,ga_icp10,hg_icp10,se_icp10,te_icp10,tl_icp10,icp16_job,al_icp16,ca_icp16,fe_icp16,k_icp16,mg_icp16,na_icp16,p_icp16,si_icp16,ti_icp16,ba_icp16,cr_icp16,mn_icp16,nb_icp16,sr_icp16,y_icp16,zr_icp16,inaajob_us,inaajob_be,na_inaa,sc_inaa,ti_inaa,cr_inaa,fe_inaa,co_inaa,ni_inaa,zn_inaa,as_inaa,br_inaa,rb_inaa,sr_inaa,zr_inaa,mo_inaa,sb_inaa,cs_inaa,ba_inaa,la_inaa,ce_inaa,nd_inaa,sm_inaa,eu_inaa,tb_inaa,yb_inaa,lu_inaa,hf_inaa,ta_inaa,w_inaa,au_inaa,th_inaa,u_inaa,dn_job,u_dn,th_dn,xrf_job,sio2_xrf,al2o3_xrf,fe2o3_xrf,mgo_xrf,cao_xrf,na2o_xrf,k2o_xrf,tio2_xrf,p2o5_xrf,mno_xrf,loi925c,c_s_job,c_tot,c_org,c_co3,s_tot,al_nure,ca_nure,fe_nure,k_nure,mg_nure,na_nure,ag_nure,as_nure,au_nure,b_nure,ba_nure,be_nure,bi_nure,br_nure,cd_nure,ce_nure,cl_nure,co_nure,cr_nure,cs_nure,cu_nure,dy_nure,eu_nure,f_nure,hf_nure,hg_nure,la_nure,li_nure,lu_nure,mn_nure,mo_nure,nb_nure,ni_nure,p_nure,pb_nure,pt_nure,rb_nure,sb_nure,sc_nure,se_nure,sm_nure,sn_nure,sr_nure,ta_nure,tb_nure,th_nure,ti_nure,v_nure,w_nure,y_nure,yb_nure,zn_nure,zr_nure,u_nure,nure_meth,zip3,congdist
RA000012,C-195864,,EKA037,38383,19810415,38383,"ALLUVIAL SAMPLE CLASTS ARE OF GRANITE & METASEDS",,,1,,RASS-CA,40,,,,,NAD27,,>16',,"<2""",,dry,mod,HC,fines-->pebbles,64',none,"not app",,,QAL,,,34.65093,-118.30305,35120NEF3,35120,35120NE,f06037,18090206,RASS,"Los Angeles",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03559,7.94,1.655,3.86,2.17,1.105,2,0.11,0.605,-2,-10,-8,751,1,-50,-2,113,12,66,18,3,22,-4,50,31,631,2,30,50,26,14,13,-50,361,-40,10,-100,110,27,3,90,,,,,MRP-03559,2.2,MRP-03559,-0.2,MRP-03559,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,0625C2
RA000059,C-195911,,EKB734,47405,19810302,47405,"ALSO LIMESTONES",,,1,,RASS-CA,40,,,,,NAD27,,4-8',,"<2""",,dry,sluggish,RT,sand-->cobbles,116',none,"not app",,,"CM,CP,QC",,,36.60859,-117.24696,37118NWG4,37118,37118NW,f06027,18090203,RASS,"Death Valley",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03559,6.79,6.825,4.92,2.33,2.025,2.025,0.185,0.495,-2,-10,-8,517,3,-50,-2,94,14,22,43,2,17,-4,47,35,913,4,21,47,17,20,9,-50,646,-40,20,-100,158,25,3,86,,,,,MRP-03559,9.2,MRP-03559,-0.2,MRP-03559,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0625C2
RA000305,C-196181,,EHL771,66388,0,66388,,,,1,,RASS-CA,500,,,,,NAD27,,,,,,,,,,,,,,,,,,35.07865,-115.2036,36116SWG4,36116,36116SW,f06071,18100100,RASS,Kingman,STRM-SED,Sediment,Stream,,,,"Poorly documented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03565,6.94,1.759,4.9,2.78,0.575,2.265,0.09,0.589,-2,-10,-8,874,2,-50,-2,218,8,24,11,3,18,-4,108,19,1220,-2,28,93,9,19,9,-50,308,-40,36,-100,111,41,4,64,,,,,MRP-03565,5.4,MRP-03565,-0.2,MRP-03565,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0641C2
RA000013,C-195865,,EKA043,50399,19810226,50399,"QTZITES GREEN SHALES SOME PORPHYRITIC GR. SOME BROWN SS",,,1,,RASS-CA,40,,,,,NAD27,,8-16',,"<2""",,dry,rapid,RT,sand-->boulders,16',none,"not app",,,E,,,36.08929,-116.9523,37118SEA4,37118,37118SE,f06027,18090203,RASS,"Death Valley",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03559,6.66,1.385,2.78,2.79,0.825,0.84,0.06,0.253,-2,-10,-8,504,2,-50,-2,90,10,15,17,-2,18,-4,40,23,408,-2,13,35,19,14,9,-50,256,-40,9,-100,66,13,2,43,,,,,MRP-03559,6.8,MRP-03559,-0.2,MRP-03559,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0625C2
RA000014,C-195866,,EKA048,50400,19810226,50400,,,,1,,RASS-CA,40,,,,,NAD27,,>16',,"<2""",,dry,slow,RT,sand-->cobbles,376',"none, mine","not app, poss",,,E,,,36.15076,-116.91237,37118SEA3,37118,37118SE,f06027,18090203,RASS,"Death Valley",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03559,5.58,2.14,2.53,2.54,1.12,1.085,0.07,0.303,-2,-10,-8,542,2,-50,-2,78,8,29,20,-2,15,-4,37,23,561,-2,14,34,14,18,8,-50,250,-40,10,-100,64,13,2,47,,,,,MRP-03559,8.3,MRP-03559,-0.2,MRP-03559,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0625C2
RA000015,C-195867,,EKA106,40383D1,19810422,40383D1,"CLASTS ARE OF PRED. GRANITIC ORGIN",,,1,,RASS-CA,40,,,,,NAD27,,2-4',,"<2""",,dry,sluggish,HC,fines-->cobbles,3',other,def,,,QAL,,,34.63751,-118.05493,35120NEH3,35120,35120NE,f06037,18090206,RASS,"Los Angeles",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03559,7.88,3.565,6.51,1.36,1.575,2.795,0.1,0.677,-2,-10,-8,727,-1,-50,-2,133,23,43,27,2,20,-4,65,10,1030,-2,23,60,28,11,20,-50,674,-40,11,-100,200,31,4,65,,,,,MRP-03559,2.6,MRP-03559,-0.2,MRP-03559,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,0625C2
RA000016,C-195868,,EKA111,42373,19810319,42373,"FROM STRAWBERRY FARM FIELD",,,1,,RASS-CA,590,,,,,NAD27,,,,,,,,JB,"fines-->sand, organic",,"farm, urban","def, prob",,,QAL,,,33.72934,-117.83957,34118NWB3,34118,34118NW,f06059,18070204,RASS,"Santa Ana",SOIL,Sediment,Soil,,,,"Poorly documented",,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03559,8.325,1.575,3.58,2.05,1.035,1.3,0.085,0.347,-2,28,-8,678,1,-50,-2,59,10,53,37,-2,20,-4,28,51,542,3,15,26,21,105,14,-50,197,-40,11,-100,115,19,2,110,,,,,MRP-03559,27.9,MRP-03559,0.9,MRP-03559,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,0647C2
RA000057,C-195909,,EKB715,34404,19810722,34404,,,,1,,RASS-CA,37,,,,,NAD27,,4-8',,"4-8""",,normal,mod,EE,"fines-->sand, cob, bould",144',none,"not app",,,GR,,,36.57431,-118.7147,37120NEC4,37120,37120NE,f06107,18030007,RASS,Fresno,STRM-SED-WET,Sediment,Stream,Wet,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03559,9.3,2.965,3.71,1.97,1.105,2.45,0.055,0.44,-2,-10,-8,504,3,-50,-2,67,11,14,8,-2,23,-4,32,43,1110,-2,18,38,4,19,20,-50,272,-40,57,-100,97,36,4,76,,,,,MRP-03559,2.3,MRP-03559,-0.2,MRP-03559,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,0621C2
RA000009,C-195861,,EKA014,49401,19810221,49401,"PORPHYRITIC GRANITE. SMALL MINE WORKINGS ABOVE SAMPLE SITE 1 ROAD ABO VE STREAM/SMALL QTZ VEIN CONTAINS SULPHIDES (GALENA).",,,1,,RASS-CA,40,,,,,NAD27,,>16',,"<2""",,dry,rapid,GP,sand-->boulders,38',mine,poss,,,E,,,36.29129,-117.05369,37118SWH2,37118,37118SW,f06027,18090203,RASS,"Death Valley",STRM-SED-DRY,Sediment,Stream,Dry,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03559,5.995,6.935,4.39,2.59,2.215,1.185,0.09,0.248,-2,49,-8,453,6,-50,-2,243,16,14,46,3,18,-4,121,29,670,22,13,102,21,73,7,-50,209,-40,33,-100,58,21,2,155,,,,,MRP-03559,45.6,MRP-03559,0.3,MRP-03559,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,0625C2
RA000058,C-195910,,EKB729,36405,19810729,36405,"GOOD SITE CLEAN SAMPLE",,,1,,RASS-CA,37,,,,,NAD27,,2-4',,"8-16""",,normal,mod,JH,sand-->boulders,24',none,"not app",,,GR,,,36.64498,-118.53613,37120NED3,37120,37120NE,f06107,18030010,RASS,Fresno,STRM-SED-WET,Sediment,Stream,Wet,180,<100oC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRP-03559,7.305,3.07,12.4,1.86,1.39,2.2,0.09,0.611,-2,-10,-8,552,-1,-50,-2,69,17,50,20,-2,17,-4,34,24,914,4,17,38,16,12,16,-50,329,-40,65,-100,357,27,3,73,,,,,MRP-03559,9.6,MRP-03559,-0.2,MRP-03559,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,0621C2
